axis,level,slack,cap_sigma,seed,steer_napp,steer_nop,steer_nsys,edge_napp,edge_nsys,app_not_full_frac,app_unserved_mean,full_service_feasible,manip_app_gas_frac,manip_app_gas_rel,manip_app_gas_dem,manip_op_gasprice_frac,manip_op_gasprice_rel,manip_op_stake_frac,manip_op_stake_rel,manip_op_gas_frac,manip_op_gas_rel
cap,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.6808694507796607,0.0,0.25,0.0534862851201667,0.0241588123130072,0.0,0.0,0.3333333333333333,0.938553566621186,0.0,0.0
cap,0.0,1.0,0.0,1,0.0466465990345192,0.0140460549384487,0.0298531118045908,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0224761856594732,0.0,0.0
cap,0.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.55546522895036,0.3333333333333333,0.0221936478475388
cap,0.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.5,0.4295071094157972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.751905143244041e-17,0.0,0.0
cap,0.0,1.0,0.0,4,0.5971854252910633,0.3834895557944089,0.3328652315480613,0.5971854252910633,0.3328652315480613,1.0,0.3582712390275591,0.0,0.75,0.5309919653029276,0.2808056909724669,0.0,0.0,0.0,0.0,0.0,0.0
cap,0.0,1.0,0.0,5,0.0,0.340459438729443,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,2.775557561562892e-17,1.0,0.0,2.834319843926397e-17,2.834319843926396e-17,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
cap,0.0,1.0,0.0,6,0.7663180968801211,0.9436396096219388,0.9436396096219388,0.7663180968801211,0.9436396096219388,1.0,0.7655125730008776,0.0,0.75,0.5728516439870142,0.1898233221405157,0.0,0.0,0.0,0.0,0.0,0.0
cap,0.0,1.0,0.0,7,0.0,0.6391202231426221,1.1102230246251563e-16,0.0,1.1102230246251563e-16,0.0,2.775557561562892e-17,1.0,0.0,3.27999538503337e-17,3.2799953850333696e-17,0.0,0.0,0.3333333333333333,0.0846004339507975,0.0,0.0
cap,0.0,1.0,0.0,8,0.0,0.7753214001745753,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,2.775557561562892e-17,1.0,0.0,3.143737597467468e-17,3.1437375974674667e-17,0.0,0.0,0.0,2.1898834095873159e-16,0.0,0.0
cap,0.0,1.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
cap,0.2,1.0,0.2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.6808694507796607,0.0,0.25,0.0534862851201667,0.0241588123130072,0.0,0.0,0.3333333333333333,1.366963054943083,0.0,0.0
cap,0.2,1.0,0.2,1,0.25,0.1056545516668893,0.0929181767961763,0.25,0.0929181767961763,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.1620957831793259,0.3333333333333333,0.0410983836637482,0.0,0.0
cap,0.2,1.0,0.2,2,0.25,0.4423168495740126,0.4401849329723321,0.25,0.4401849329723321,0.25,0.25,1.0,0.0,0.0,0.0,0.6666666666666666,1.68737917057016,0.6666666666666666,1.6873791705701595,0.3333333333333333,0.766160552035878
cap,0.2,1.0,0.2,3,0.0,0.0,0.0,0.0,0.0,0.75,0.6795071094157972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.65977096288614e-17,0.0,0.0
cap,0.2,1.0,0.2,4,0.5971854252910633,0.737412233429297,0.6799676751861955,0.5971854252910633,0.6799676751861955,1.0,0.5612218503736603,0.0,0.25,0.0,0.1064653755474585,0.3333333333333333,0.1621781103085947,0.0,0.0,0.0,0.0
