axis,level,slack,cap_sigma,seed,steer_napp,steer_nop,steer_nsys,edge_napp,edge_nsys,app_not_full_frac,app_unserved_mean,full_service_feasible,manip_app_gas_frac,manip_app_gas_rel,manip_app_gas_dem,manip_op_gasprice_frac,manip_op_gasprice_rel,manip_op_stake_frac,manip_op_stake_rel,manip_op_gas_frac,manip_op_gas_rel
slack,0.25,0.25,0.8,0,0.37869129141233393,0.19252495788753243,0.5033280261638671,0.0,0.0,1,0.8715893786738584,0.0,0,0.0,0.0,0,0.0,0,1.90437804397488e-16,0,0.0
slack,0.25,0.25,0.8,1,0.4759625733243627,0.5324954795061023,0.28928557085030715,0.07422791807180121,0.28928557085030715,0.75,0.5936448543274188,0.0,0,0.0,0.0,0.6666666666666666,0.5361389847595601,0.3333333333333333,0.4522922943172126,0,0.0
slack,0.25,0.25,0.8,2,0.0,0.0,0.0,0.0,0.0,0.75,0.3273632590963386,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,0.25,0.25,0.8,3,0.0,0.0,0.0,0.0,0.0,1,0.9823767773539493,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,0.25,0.25,0.8,4,0.26630830374693193,0.001670924576460342,0.007079837925923926,0.26630830374693193,0.007079837925923926,1,0.8580345637567133,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,0.25,0.25,0.8,5,0.29724159401485667,0.33424115471850646,0.3217207731519718,0.260488326733764,0.3217207731519718,0.75,0.45897689218139276,0.0,0.25,0.18820680040851345,0.09021683482832048,0.3333333333333333,0.26920331163835604,0.3333333333333333,0.26920331163835604,0.3333333333333333,0.20363779108249247
slack,0.25,0.25,0.8,6,0.4709088390863521,0.13887708022116707,0.13939961178525695,0.4709088390863521,0.13939961178525695,1,0.9050990101266865,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,0.25,0.25,0.8,7,0.05250802200859729,0.059950645241499734,0.0217093179739144,0.0,0.0,1,0.39445955381872333,0.0,0.25,0.09044899568078435,0.053358168503158124,0.6666666666666666,0.42444263001317417,0.3333333333333333,0.32955675528965406,0.6666666666666666,0.42444263001317417
slack,0.25,0.25,0.8,8,0.0,0.7753214001745753,0.0,0.0,0.0,0.75,0.75,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,0.25,0.25,0.8,9,0.1622941055627316,0.318276835731946,0.3548860720867245,0.1622941055627316,0.3548860720867245,0.5,0.3717205791720487,0.0,0.25,0.31629022121249084,0.12172057917204873,0.3333333333333333,0.2648225370768026,0,5.259077218445147e-17,0,0.0
slack,0.5,0.5,0.8,0,0.3617389015593212,0.2139717165007563,0.48977634595536823,0.0,0.0,0.75,0.75,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,0.5,0.5,0.8,1,0.2673067432870777,0.6078595735206674,0.31601622555354447,0.2673067432870777,0.31601622555354447,1,0.5399617054531596,0.0,0.25,0.0,0.25,0.3333333333333333,0.7282687088549323,0,0.0,0,0.0
slack,0.5,0.5,0.8,2,0.03770946519540529,0.8079810073370202,0.8043492231891248,0.03770946519540529,0.8043492231891248,0.25,0.25,0.0,0,0.0,0.0,0.3333333333333333,5.097050196443832,0,4.894464772808741e-17,0,0.0
slack,0.5,0.5,0.8,3,0.0,0.0,0.0,0.0,0.0,1,0.9647535547078986,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,0.5,0.5,0.8,4,0.2766282316810921,0.0017643409209491256,0.007433760510228371,0.2766282316810921,0.007433760510228371,0.75,0.7305062013325108,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,0.5,0.5,0.8,5,0.06047190187361695,0.22707965379732453,0.16260364562077012,0.06047190187361695,0.16260364562077012,0.25,0.06047190187361692,1.0,0.25,0.07976640729187874,0.06047190187361692,0.3333333333333333,0.13401431044949644,0.3333333333333333,0.13401431044949644,0.3333333333333333,0.13401431044949644
slack,0.5,0.5,0.8,6,0.4709088390863522,0.13887708022116707,0.13939961178525695,0.4709088390863522,0.13939961178525695,1,0.8101980202533728,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,0.5,0.5,0.8,7,0.27922412959646237,0.3148535595230857,0.21615232704813092,0.1376580181504373,0.08595197974646851,0.25,0.25,0.0,0,0.0,0.0,0.6666666666666666,0.18932154210752883,0.3333333333333333,0.10618666789683241,0.6666666666666666,0.06393740641879914
slack,0.5,0.5,0.8,8,0.0,0.08891621967014507,0.0,0.0,0.0,0.75,0.75,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,0.5,0.5,0.8,9,0.0,0.38430196345017864,0.4186598268162637,0.0,0.4186598268162637,0.25,0.25,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0
slack,1.0,1.0,0.8,0,0.0,0.0,0.0,0.0,0.0,1,0.6808694507796607,0.0,0.25,0.05348628512016679,0.0241588123130072,0.3333333333333333,3.8056607517014562,0.3333333333333333,3.8056607517014562,0,0.0
