seed,n_near_optima,n_distinct,mean_cv,max_cv,best_objective
0,1,1,0.0,0.0,0.42353971063580853
1,1,1,0.0,0.0,0.3424351244683924
2,1,1,0.0,0.0,0.3502707195238619
3,1,1,0.0,0.0,0.2867293482297715
4,1,1,0.0,0.0,0.37077436545292075
5,1,1,0.0,0.0,0.4303099765059057
6,1,1,0.0,0.0,0.34250185000218214
7,2,2,0.17988749098075066,1.0,0.3520898891674299
8,1,1,0.0,0.0,0.30782705805528937
9,1,1,0.0,0.0,0.30750618978513533
10,2,2,0.26688606095644035,1.0,0.34161450485247735
11,2,2,0.18921272569865527,1.0,0.3555560092981337
12,1,1,0.0,0.0,0.25575208506289904
13,1,1,0.0,0.0,0.4020317807287771
14,1,1,0.0,0.0,0.33502431916453806
