slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
0.5,0.0,pareto,min,uniform,0,fixed_point,2,4,5.5767476945630765,5.5767476945630765,1.374826726162019,1.4123388329779991,111.53495389126152,114.57818183007554,0,0
0.5,0.0,pareto,min,uniform,1,max_rounds,6,4,14.41784528206692,11.141328563660522,4.907107851177187,4.907107851177187,288.3569056413384,288.3569056413384,2,0
0.5,0.0,pareto,min,uniform,2,fixed_point,1,0,12.802759825364852,12.802759825364852,8.013144882455563,8.013144882455563,256.05519650729707,256.05519650729707,0,0
0.5,0.0,pareto,min,uniform,3,fixed_point,1,0,9.838696740680277,9.838696740680277,5.623676071069703,5.623676071069703,196.77393481360556,196.77393481360556,0,0
0.5,0.0,pareto,min,uniform,4,fixed_point,2,3,12.334556916157576,9.537162432110502,5.448414614519624,5.356460021813625,246.6911383231516,243.0772750379083,1,1
0.5,0.0,pareto,min,uniform,5,fixed_point,4,3,15.15028194291896,13.887290497352932,5.4153245629247175,4.936622873822585,303.0056388583792,284.4235829935065,1,1
0.5,0.0,pareto,min,sys,0,fixed_point,1,0,5.5767476945630765,5.5767476945630765,1.374826726162019,1.374826726162019,111.53495389126152,111.53495389126152,0,0
0.5,0.0,pareto,min,sys,1,fixed_point,5,3,14.41784528206692,11.995695975156025,4.907107851177187,4.907107851177187,288.3569056413384,288.3569056413384,2,0
0.5,0.0,pareto,min,sys,2,fixed_point,1,0,12.802759825364852,12.802759825364852,8.013144882455563,8.013144882455563,256.05519650729707,256.05519650729707,0,0
0.5,0.0,pareto,min,sys,3,fixed_point,1,0,9.838696740680277,9.838696740680277,5.623676071069703,5.623676071069703,196.77393481360556,196.77393481360556,0,0
0.5,0.0,pareto,min,sys,4,fixed_point,1,0,12.334556916157576,12.334556916157576,5.448414614519624,5.448414614519624,246.6911383231516,246.6911383231516,0,0
