slack,cap_sigma,stake,rule,weights,seed,outcome,rounds,n_deviators,truthful_app,final_app,truthful_op,final_op,truthful_sys,final_sys,apps_worse,ops_worse
1.0,0.0,pareto,min,uniform,0,fixed_point,3,4,7.162644385524128,5.5767476945630765,3.9973411400806134,0.6874133630810095,143.25288771048255,55.76747694563076,1,2
1.0,0.0,pareto,min,uniform,1,fixed_point,3,4,26.865614605810904,26.865614605810904,9.237142461868942,9.522494470937728,537.312292116218,555.8332730278166,0,0
1.0,0.0,pareto,min,uniform,2,cycle,7,4,12.802759825364852,9.48051038596547,8.057589740199301,7.3659900422431,256.05519650729707,237.01275964913674,1,1
1.0,0.0,pareto,min,uniform,3,fixed_point,1,0,18.916752279527376,18.916752279527376,10.768188808656049,10.768188808656049,378.3350455905475,378.3350455905475,0,0
1.0,0.0,pareto,min,uniform,4,cycle,3,3,24.66911383231516,20.1851765243174,10.896829229039252,10.896829229039252,493.38227664630324,493.38227664630324,1,0
1.0,0.2,pareto,min,uniform,0,fixed_point,3,3,7.162644385524128,5.5767476945630765,4.7589600272528845,3.429316993783834,165.3082861824127,278.2086684101342,1,2
1.0,0.2,pareto,min,uniform,1,fixed_point,4,4,26.865614605810904,25.501441574363295,12.072360219187702,11.199034132164622,635.0564828679601,646.7485728729586,1,1
1.0,0.2,pareto,min,uniform,2,cycle,8,3,12.365733455933881,9.043484016534498,9.04454888116774,7.8495474287974565,288.3295228921054,248.02736425871802,1,1
1.0,0.2,pareto,min,uniform,3,fixed_point,1,0,18.526889088030657,18.526889088030657,13.514374689810838,13.514374689810838,482.7559821889916,482.7559821889916,0,0
1.0,0.2,pareto,min,uniform,4,fixed_point,3,3,24.669113832315162,24.669113832315162,15.619670429698122,15.756944118291864,675.6021669899236,701.02317205,1,0
1.0,0.4,pareto,min,uniform,0,fixed_point,3,3,7.162644385524128,5.5767476945630765,5.542906381786693,4.1444799106172505,187.48645779987,336.2273710116103,1,2
1.0,0.4,pareto,min,uniform,1,cycle,6,4,26.865614605810904,18.513802685364308,13.706916992794511,9.08912561991157,717.9774007779652,575.4248288426245,2,1
1.0,0.4,pareto,min,uniform,2,fixed_point,3,3,12.802759825364852,9.043484016534498,10.72344544188686,10.737637281629402,352.0380483554671,344.21494972235433,2,1
1.0,0.4,pareto,min,uniform,3,fixed_point,1,0,10.899050816181227,10.899050816181227,9.22178120349979,9.22178120349979,335.5006847805763,335.5006847805763,0,0
1.0,0.4,pareto,min,uniform,4,fixed_point,3,2,24.669113832315162,24.669113832315162,13.837721244540433,13.992346614676944,605.5064203463933,634.1406936505026,2,0
1.0,0.6,pareto,min,uniform,0,fixed_point,3,3,7.162644385524128,5.5767476945630765,6.511522941935493,5.008785644676596,215.53894268204198,406.34551634718594,1,2
1.0,0.6,pareto,min,uniform,1,fixed_point,5,4,26.865614605810904,26.55305072534965,15.44222726240265,15.527018937367334,786.5656066634414,801.4402159656721,1,0
1.0,0.6,pareto,min,uniform,2,fixed_point,3,3,12.802759825364852,9.043484016534498,14.466436244138338,14.958119215731225,475.9655402482631,479.17771135596456,2,1
1.0,0.6,pareto,min,uniform,3,fixed_point,1,0,10.899050816181227,10.899050816181227,8.423608922821598,8.423608922821598,306.46211394148736,306.46211394148736,0,0
1.0,0.6,pareto,min,uniform,4,fixed_point,2,2,24.669113832315162,13.84092222465118,12.264622213487655,13.58545053887466,543.618660099034,595.5278997656894,1,0
1.0,0.8,pareto,min,uniform,0,fixed_point,3,3,7.162644385524128,5.5767476945630765,7.701169459271478,6.053337011007958,250.5638814407931,491.08636860429647,1,2
1.0,0.8,pareto,min,uniform,1,fixed_point,4,2,26.865614605810904,26.865614605810904,17.433073238812124,17.461014277644818,862.409525771239,867.3110923024801,0,0
1.0,0.8,pareto,min,uniform,2,fixed_point,3,3,12.802759825364852,9.043484016534498,19.199512157369966,20.96125441450614,633.5851717979543,668.969737625546,2,1
1.0,0.8,pareto,min,uniform,3,fixed_point,1,0,10.899050816181227,10.899050816181227,7.694520800136794,7.694520800136794,279.9369167991713,279.9369167991713,0,0
1.0,0.8,pareto,min,uniform,4,fixed_point,2,2,24.669113832315162,13.84092222465118,10.875889487897156,13.98217579450691,488.9766582016372,611.0553244929667,1,0
1.0,1.0,pareto,min,uniform,0,fixed_point,3,3,7.162644385524128,5.5767476945630765,9.156006927251022,7.3157231249820605,293.9013186364699,593.499403160389,1,2
