cap_scale,seed,w_app,w_op,w_sys,napp,nsys
0.5,0,0.0,0.0,1.0,0.4748753858257791,0.2989936544113842
0.5,0,0.0,0.2,0.8,0.3785820877264854,0.2835176322614162
0.5,0,0.0,0.4,0.6,0.3785820877264854,0.2835176322614162
0.5,0,0.0,0.6,0.4,0.3785820877264854,0.2835176322614162
0.5,0,0.0,0.8,0.2,0.3785820877264854,0.2835176322614162
0.5,0,0.0,1.0,0.0,0.37321540390053326,0.2781227335604095
0.5,0,0.2,0.0,0.8,0.520887256545341,0.242861583408116
0.5,0,0.2,0.2,0.6,0.6561594234742961,0.2547113745664845
0.5,0,0.2,0.4,0.4,0.6641468206832675,0.3290756536961462
0.5,0,0.2,0.6,0.2,0.6360937721005497,0.2896312479116548
0.5,0,0.2,0.8,0.0,0.6854290765080218,0.27528813715262246
0.5,0,0.4,0.0,0.6,0.5422336053722654,0.2198092103981271
0.5,0,0.4,0.2,0.4,0.613843496414568,0.2684383576987132
0.5,0,0.4,0.4,0.2,0.6227008044732045,0.22821946676920965
0.5,0,0.4,0.6,0.0,0.624496282672784,0.24466877662422945
0.5,0,0.6,0.0,0.4,0.5909130590148362,0.18395285420472035
0.5,0,0.6,0.2,0.2,0.5833786579703581,0.27560009880632064
0.5,0,0.6,0.4,0.0,0.624496282672784,0.24466877662422945
0.5,0,0.8,0.0,0.2,0.6242767413134469,0.21532662822661855
0.5,0,0.8,0.2,0.0,0.624496282672784,0.24466877662422945
0.5,0,1.0,0.0,0.0,0.5830687542735029,0.18020165847079186
0.5,1,0.0,0.0,1.0,0.335925373158937,0.1555846258581184
0.5,1,0.0,0.2,0.8,0.38296454267586605,0.1735209655489114
0.5,1,0.0,0.4,0.6,0.38296454267586605,0.1735209655489114
0.5,1,0.0,0.6,0.4,0.38296454267586605,0.1735209655489114
0.5,1,0.0,0.8,0.2,0.3982702968623609,0.18416965072891978
0.5,1,0.0,1.0,0.0,0.3449658627419884,0.192360342749982
0.5,1,0.2,0.0,0.8,0.4423574327459464,0.20621390337832832
0.5,1,0.2,0.2,0.6,0.47904993290319525,0.21448706269598755
0.5,1,0.2,0.4,0.4,0.4302651138125938,0.19276037135076132
0.5,1,0.2,0.6,0.2,0.4388099854799683,0.20007272498380016
0.5,1,0.2,0.8,0.0,0.47067279958103503,0.15120111775813522
0.5,1,0.4,0.0,0.6,0.43485095749899594,0.18957491656127926
0.5,1,0.4,0.2,0.4,0.42141945479577886,0.18052632261787666
0.5,1,0.4,0.4,0.2,0.47067279958103503,0.15120111775813522
0.5,1,0.4,0.6,0.0,0.47067279958103503,0.15120111775813522
0.5,1,0.6,0.0,0.4,0.5141860915346287,0.15074200616680822
0.5,1,0.6,0.2,0.2,0.47067279958103503,0.15120111775813522
0.5,1,0.6,0.4,0.0,0.47067279958103503,0.15120111775813522
0.5,1,0.8,0.0,0.2,0.5165138493989486,0.14709354236765887
0.5,1,0.8,0.2,0.0,0.47067279958103503,0.15120111775813522
0.5,1,1.0,0.0,0.0,0.4908250280634439,0.09959750283487015
0.5,2,0.0,0.0,1.0,0.3017246376531429,0.23072415299855883
0.5,2,0.0,0.2,0.8,0.2865259071474067,0.22881740281564586
0.5,2,0.0,0.4,0.6,0.2865259071474067,0.22881740281564586
0.5,2,0.0,0.6,0.4,0.2865259071474067,0.22881740281564586
0.5,2,0.0,0.8,0.2,0.2865259071474067,0.22881740281564586
0.5,2,0.0,1.0,0.0,0.13933728394445105,0.1586376152649569
0.5,2,0.2,0.0,0.8,0.35852351697063434,0.19091432125313423
0.5,2,0.2,0.2,0.6,0.4317000077901662,0.2096704855613562
0.5,2,0.2,0.4,0.4,0.40603535660584467,0.22195464986064636
0.5,2,0.2,0.6,0.2,0.3708760197829408,0.1737185074687654
0.5,2,0.2,0.8,0.0,0.43509037075628304,0.12462749243173751
0.5,2,0.4,0.0,0.6,0.4838166358810826,0.23473107660510778
0.5,2,0.4,0.2,0.4,0.4461484849896557,0.1539498905156887
0.5,2,0.4,0.4,0.2,0.43509037075628304,0.12462749243173751
0.5,2,0.4,0.6,0.0,0.44055575404927705,0.11319711805490593
0.5,2,0.6,0.0,0.4,0.4398855140221861,0.17008594178728081
0.5,2,0.6,0.2,0.2,0.43509037075628304,0.12462749243173751
0.5,2,0.6,0.4,0.0,0.44055575404927705,0.11319711805490593
0.5,2,0.8,0.0,0.2,0.4205904923823128,0.11042295256914512
0.5,2,0.8,0.2,0.0,0.44055575404927705,0.11319711805490593
0.5,2,1.0,0.0,0.0,0.386624070666703,0.08439607273392347
0.5,3,0.0,0.0,1.0,0.23702413621095947,0.052645984542503195
0.5,3,0.0,0.2,0.8,0.15400387767994272,0.07475288186352945
0.5,3,0.0,0.4,0.6,0.15400387767994272,0.07475288186352945
0.5,3,0.0,0.6,0.4,0.15400387767994272,0.07475288186352945
0.5,3,0.0,0.8,0.2,0.15400387767994272,0.07475288186352945
0.5,3,0.0,1.0,0.0,0.26801657879425944,0.04799873033390058
0.5,3,0.2,0.0,0.8,0.5308278799455457,0.023197488464780276
0.5,3,0.2,0.2,0.6,0.5723505697668363,0.028428901891198406
0.5,3,0.2,0.4,0.4,0.5130048978281843,0.03122772472424751
0.5,3,0.2,0.6,0.2,0.550555130721625,0.029626970532182904
0.5,3,0.2,0.8,0.0,0.4999461732531388,0.029123012444105634
0.5,3,0.4,0.0,0.6,0.5308278799455457,0.023197488464780276
0.5,3,0.4,0.2,0.4,0.550555130721625,0.029626970532182904
0.5,3,0.4,0.4,0.2,0.550555130721625,0.029626970532182904
0.5,3,0.4,0.6,0.0,0.5247921755139624,0.03035559086270637
0.5,3,0.6,0.0,0.4,0.5037500067589294,0.0420122426525643
0.5,3,0.6,0.2,0.2,0.4999461732531388,0.029123012444105634
0.5,3,0.6,0.4,0.0,0.574206259967029,0.028316440182372657
0.5,3,0.8,0.0,0.2,0.5037500067589294,0.0420122426525643
0.5,3,0.8,0.2,0.0,0.574206259967029,0.028316440182372657
0.5,3,1.0,0.0,0.0,0.4958027824170582,0.020980413365426543
0.5,4,0.0,0.0,1.0,0.1718561283177406,0.14855329312866855
0.5,4,0.0,0.2,0.8,0.2696397499950887,0.16105015447440627
0.5,4,0.0,0.4,0.6,0.2696397499950887,0.16105015447440627
0.5,4,0.0,0.6,0.4,0.2696397499950887,0.16105015447440627
0.5,4,0.0,0.8,0.2,0.2696397499950887,0.16105015447440627
0.5,4,0.0,1.0,0.0,0.4545361475368928,0.17328239321115343
0.5,4,0.2,0.0,0.8,0.3474247735225462,0.1774934347161574
0.5,4,0.2,0.2,0.6,0.5534978582187698,0.20210328314273596
0.5,4,0.2,0.4,0.4,0.4342539095946088,0.18395898923823004
0.5,4,0.2,0.6,0.2,0.6234545308733516,0.11877873037094201
0.5,4,0.2,0.8,0.0,0.567840207299964,0.09910067763092016
0.5,4,0.4,0.0,0.6,0.36009000827785814,0.17304749767867936
0.5,4,0.4,0.2,0.4,0.6234545308733516,0.11877873037094201
0.5,4,0.4,0.4,0.2,0.5515200509724696,0.12583860038964834
0.5,4,0.4,0.6,0.0,0.589974325207907,0.0740672227060665
0.5,4,0.6,0.0,0.4,0.5680381606024593,0.11876089755328408
0.5,4,0.6,0.2,0.2,0.5777644055060562,0.1621748854479371
0.5,4,0.6,0.4,0.0,0.589974325207907,0.0740672227060665
0.5,4,0.8,0.0,0.2,0.5777644055060562,0.1621748854479371
0.5,4,0.8,0.2,0.0,0.589974325207907,0.0740672227060665
0.5,4,1.0,0.0,0.0,0.567840207299964,0.0675655316622675
0.5,5,0.0,0.0,1.0,0.35265088469107697,0.23159929659464712
0.5,5,0.0,0.2,0.8,0.26864402113505526,0.2064391016307831
0.5,5,0.0,0.4,0.6,0.26864402113505526,0.2064391016307831
0.5,5,0.0,0.6,0.4,0.4970876074063774,0.20559399661942224
0.5,5,0.0,0.8,0.2,0.3370473768614913,0.19847523716304216
0.5,5,0.0,1.0,0.0,0.48451524991854333,0.2296978615458834
0.5,5,0.2,0.0,0.8,0.5527668072499996,0.19495465979314272
0.5,5,0.2,0.2,0.6,0.5059222282509408,0.22403574801565293
0.5,5,0.2,0.4,0.4,0.5161448453826948,0.21298368236857437
0.5,5,0.2,0.6,0.2,0.5763199427684922,0.17150807002733404
0.5,5,0.2,0.8,0.0,0.6158874022529864,0.14539792059702425
0.5,5,0.4,0.0,0.6,0.6252960010905892,0.1514416626356476
0.5,5,0.4,0.2,0.4,0.5742335678754475,0.24445223828071402
0.5,5,0.4,0.4,0.2,0.6669685279869927,0.16315926051963225
0.5,5,0.4,0.6,0.0,0.6396505986664975,0.11773479746837318
0.5,5,0.6,0.0,0.4,0.6289044024838462,0.20035182349311986
0.5,5,0.6,0.2,0.2,0.5774694156568055,0.1524858724838965
0.5,5,0.6,0.4,0.0,0.6396505986664975,0.11773479746837318
0.5,5,0.8,0.0,0.2,0.6128533204320223,0.1382298849200477
0.5,5,0.8,0.2,0.0,0.6396505986664975,0.11773479746837318
0.5,5,1.0,0.0,0.0,0.6819061188476886,0.10818607034940252
