slack,cap_sigma,stake,rule,weights,seed,supply_demand,role,agent,coord,factor,true_util,service,gain,rel_gain
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gas,0.25,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gas,0.5,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gas,0.8,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gas,1.25,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gas,2.0,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gas,4.0,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gasprice,0.25,21.798101632362453,0.1409857811684057,-21.798101632362453,-1.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gasprice,0.5,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gasprice,0.8,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gasprice,1.25,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gasprice,2.0,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,gasprice,4.0,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,stake,0.25,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,stake,0.5,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,stake,0.8,21.798101632362453,0.1409857811684057,0.0,0.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,stake,1.25,21.798101632362453,0.1409857811684057,-5.800869067990668,-0.26611808522712976
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,stake,2.0,21.798101632362453,0.1409857811684057,-5.800869067990668,-0.26611808522712976
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,0,stake,4.0,21.798101632362453,0.1409857811684057,-21.798101632362453,-1.0
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gas,0.25,0.0,0.0,0.0,
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gas,0.5,0.0,0.0,0.0,
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gas,0.8,0.0,0.0,0.0,
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gas,1.25,0.0,0.0,0.0,
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gas,2.0,0.0,0.0,0.0,
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gas,4.0,0.0,0.0,0.0,
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gasprice,0.25,0.0,0.0,0.0,
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gasprice,0.5,0.0,0.0,0.0,
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gasprice,0.8,0.0,0.0,0.0,
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gasprice,1.25,0.0,0.0,0.0,
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gasprice,2.0,0.0,0.0,1.5594527659868662,
0.5,0.8,pareto,min,uniform,3,0.2500777234106901,app,1,gasprice,4.0,0.0,0.0,1.5594527659868662,
