slack,cap_sigma,stake,rule,weights,seed,supply_demand,role,agent,coord,factor,true_util,service,gain,rel_gain
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gas,0.25,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gas,0.5,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gas,0.8,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gas,1.25,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gas,2.0,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gas,4.0,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gasprice,0.25,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gasprice,0.5,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gasprice,0.8,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gasprice,1.25,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gasprice,2.0,0.0,0.0,4.2496141888816625,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,gasprice,4.0,0.0,0.0,10.075674582166593,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,stake,0.25,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,stake,0.5,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,stake,0.8,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,stake,1.25,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,stake,2.0,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,0,stake,4.0,0.0,0.0,0.0,
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gas,0.25,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gas,0.5,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gas,0.8,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gas,1.25,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gas,2.0,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gas,4.0,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gasprice,0.25,4.2496141888816625,0.2414562608031002,-4.2496141888816625,-1.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gasprice,0.5,4.2496141888816625,0.2414562608031002,-4.2496141888816625,-1.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gasprice,0.8,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gasprice,1.25,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gasprice,2.0,4.2496141888816625,0.2414562608031002,5.826060393284931,1.370962194292308
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,gasprice,4.0,4.2496141888816625,0.2414562608031002,5.826060393284931,1.370962194292308
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,stake,0.25,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,stake,0.5,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,stake,0.8,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,stake,1.25,4.2496141888816625,0.2414562608031002,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,stake,2.0,4.2496141888816625,0.2414562608031002,-4.2496141888816625,-1.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,1,stake,4.0,4.2496141888816625,0.2414562608031002,-4.2496141888816625,-1.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gas,0.25,22.915636366015107,0.6013349598690858,-13.388651451066883,-0.5842583307406134
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gas,0.5,22.915636366015107,0.6013349598690858,-3.8616665361186584,-0.16851666148122682
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gas,0.8,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gas,1.25,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gas,2.0,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gas,4.0,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gasprice,0.25,22.915636366015107,0.6013349598690858,-18.666022177133446,-0.8145539525498832
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gasprice,0.5,22.915636366015107,0.6013349598690858,-12.839961783848514,-0.5603144324148353
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gasprice,0.8,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gasprice,1.25,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gasprice,2.0,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,gasprice,4.0,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,stake,0.25,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,stake,0.5,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,stake,0.8,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,stake,1.25,22.915636366015107,0.6013349598690858,0.0,0.0
0.5,0.8,uniform,min,sys,0,0.369485200595192,app,2,stake,2.0,22.915636366015107,0.6013349598690858,-22.915636366015107,-1.0
