slack,cap_sigma,stake,rule,weights,seed,supply_demand,role,agent,coord,factor,true_util,service,gain,rel_gain
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gas,0.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gas,0.5,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gas,0.8,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gas,1.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gas,2.0,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gas,4.0,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gasprice,0.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gasprice,0.5,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gasprice,0.8,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gasprice,1.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gasprice,2.0,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,gasprice,4.0,0.0,0.0,22.77652091853272,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,stake,0.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,stake,0.5,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,stake,0.8,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,stake,1.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,stake,2.0,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,0,stake,4.0,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gas,0.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gas,0.5,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gas,0.8,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gas,1.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gas,2.0,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gas,4.0,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gasprice,0.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gasprice,0.5,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gasprice,0.8,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gasprice,1.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gasprice,2.0,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,gasprice,4.0,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,stake,0.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,stake,0.5,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,stake,0.8,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,stake,1.25,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,stake,2.0,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,1,stake,4.0,0.0,0.0,0.0,
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gas,0.25,38.1079396597929,1.0,-38.1079396597929,-1.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gas,0.5,38.1079396597929,1.0,-19.05396982989645,-0.5
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gas,0.8,38.1079396597929,1.0,-7.6215879319585795,-0.2
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gas,1.25,38.1079396597929,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gas,2.0,38.1079396597929,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gas,4.0,38.1079396597929,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gasprice,0.25,38.1079396597929,1.0,-38.1079396597929,-1.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gasprice,0.5,38.1079396597929,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gasprice,0.8,38.1079396597929,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gasprice,1.25,38.1079396597929,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gasprice,2.0,38.1079396597929,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,gasprice,4.0,38.1079396597929,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,stake,0.25,38.1079396597929,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,stake,0.5,38.1079396597929,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,stake,0.8,38.1079396597929,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,stake,1.25,38.1079396597929,1.0,-38.1079396597929,-1.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,stake,2.0,38.1079396597929,1.0,-38.1079396597929,-1.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,2,stake,4.0,38.1079396597929,1.0,-38.1079396597929,-1.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gas,0.25,22.306990778252306,1.0,-22.306990778252306,-1.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gas,0.5,22.306990778252306,1.0,-22.306990778252306,-1.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gas,0.8,22.306990778252306,1.0,-4.4613981556504605,-0.19999999999999996
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gas,1.25,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gas,2.0,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gas,4.0,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gasprice,0.25,22.306990778252306,1.0,-22.306990778252306,-1.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gasprice,0.5,22.306990778252306,1.0,-22.306990778252306,-1.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gasprice,0.8,22.306990778252306,1.0,-22.306990778252306,-1.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gasprice,1.25,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gasprice,2.0,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,gasprice,4.0,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,stake,0.25,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,stake,0.5,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,stake,0.8,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,stake,1.25,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,stake,2.0,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,app,3,stake,4.0,22.306990778252306,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gas,0.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gas,0.5,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gas,0.8,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gas,1.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gas,2.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gas,4.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gasprice,0.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gasprice,0.5,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gasprice,0.8,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gasprice,1.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gasprice,2.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,gasprice,4.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,stake,0.25,13.417286292815335,,-8.807974809573732,-0.65646469914637
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,stake,0.5,13.417286292815335,,6.59100960598102,0.4912326876046732
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,stake,0.8,13.417286292815335,,-2.1242239717848452,-0.15831994081562684
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,stake,1.25,13.417286292815335,,2.376673963721988,0.17713522033100276
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,stake,2.0,13.417286292815335,,11.991067572950298,0.8937028927653764
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,0,stake,4.0,13.417286292815335,,21.016330190677607,1.566362208573532
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gas,0.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gas,0.5,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gas,0.8,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gas,1.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gas,2.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gas,4.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gasprice,0.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gasprice,0.5,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gasprice,0.8,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gasprice,1.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gasprice,2.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,gasprice,4.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,stake,0.25,13.417286292815335,,-4.337280776303398,-0.3232606565625657
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,stake,0.5,13.417286292815335,,-13.417286292815335,-1.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,stake,0.8,13.417286292815335,,-11.599496116009286,-0.8645187903771989
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,stake,1.25,13.417286292815335,,4.362545952466844,0.325143688318173
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,stake,2.0,13.417286292815335,,6.3354848162781625,0.47218824119976305
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,1,stake,4.0,13.417286292815335,,8.348152889599573,0.622193840647928
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gas,0.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gas,0.5,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gas,0.8,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gas,1.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gas,2.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gas,4.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gasprice,0.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gasprice,0.5,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gasprice,0.8,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gasprice,1.25,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gasprice,2.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,gasprice,4.0,13.417286292815335,,0.0,0.0
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,stake,0.25,13.417286292815335,,-9.279246134955091,-0.691588890066684
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,stake,0.5,13.417286292815335,,10.538700818454297,0.7854569536984197
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,stake,0.8,13.417286292815335,,-2.2203556298410536,-0.16548470244910893
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,stake,1.25,13.417286292815335,,2.529860194667009,0.18855230032780132
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,stake,2.0,13.417286292815335,,14.152683904395035,1.054809713047078
4.0,0.8,pareto,sum,uniform,0,2.955881604761537,op,2,stake,4.0,13.417286292815335,,25.11004255698149,1.8714695363120761
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gas,0.25,28.377148530307164,1.0,-21.282861397730372,-0.75
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gas,0.5,28.377148530307164,1.0,-14.188574265153582,-0.5
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gas,0.8,28.377148530307164,1.0,-5.675429706061433,-0.2
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gas,1.25,28.377148530307164,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gas,2.0,28.377148530307164,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gas,4.0,28.377148530307164,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gasprice,0.25,28.377148530307164,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gasprice,0.5,28.377148530307164,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gasprice,0.8,28.377148530307164,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gasprice,1.25,28.377148530307164,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gasprice,2.0,28.377148530307164,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,gasprice,4.0,28.377148530307164,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,stake,0.25,28.377148530307164,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,stake,0.5,28.377148530307164,1.0,0.0,0.0
4.0,0.8,pareto,sum,uniform,1,4.293323043187976,app,0,stake,0.8,28.377148530307164,1.0,0.0,0.0
