slack,cap_sigma,stake,rule,seed,w_app,w_op,w_sys,napp,nop,nsys
0.5,0.0,uniform,min,0,0.0,0.0,1.0,0.3236183990115429,1.0,1.0
0.5,0.0,uniform,min,0,0.0,0.2,0.8,0.3236183990115429,1.0,1.0
0.5,0.0,uniform,min,0,0.0,0.4,0.6,0.3236183990115429,1.0,1.0
0.5,0.0,uniform,min,0,0.0,0.6,0.4,0.3236183990115429,1.0,1.0
0.5,0.0,uniform,min,0,0.0,0.8,0.2,0.3236183990115429,1.0,1.0
0.5,0.0,uniform,min,0,0.0,1.0,0.0,0.3236183990115429,1.0,1.0
0.5,0.0,uniform,min,0,0.2,0.0,0.8,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.2,0.2,0.6,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.2,0.4,0.4,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.2,0.6,0.2,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.2,0.8,0.0,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.4,0.0,0.6,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.4,0.2,0.4,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.4,0.4,0.2,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.4,0.6,0.0,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.6,0.0,0.4,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.6,0.2,0.2,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.6,0.4,0.0,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.8,0.0,0.2,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,0.8,0.2,0.0,0.44074740083592684,0.9962644470593361,0.9962644470573601
0.5,0.0,uniform,min,0,1.0,0.0,0.0,0.44074740083592684,0.4892916577894369,0.4892916577795543
0.5,0.0,uniform,min,1,0.0,0.0,1.0,0.43061408152711855,1.0,1.0
0.5,0.0,uniform,min,1,0.0,0.2,0.8,0.43061408152711855,1.0,1.0
0.5,0.0,uniform,min,1,0.0,0.4,0.6,0.43061408152711855,1.0,1.0
0.5,0.0,uniform,min,1,0.0,0.6,0.4,0.43061408152711855,1.0,1.0
0.5,0.0,uniform,min,1,0.0,0.8,0.2,0.43061408152711855,1.0,1.0
0.5,0.0,uniform,min,1,0.0,1.0,0.0,0.43061408152711855,1.0,1.0
0.5,0.0,uniform,min,1,0.2,0.0,0.8,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.2,0.2,0.6,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.2,0.4,0.4,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.2,0.6,0.2,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.2,0.8,0.0,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.4,0.0,0.6,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.4,0.2,0.4,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.4,0.4,0.2,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.4,0.6,0.0,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.6,0.0,0.4,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.6,0.2,0.2,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.6,0.4,0.0,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.8,0.0,0.2,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,0.8,0.2,0.0,0.6050823378642765,1.0,1.0
0.5,0.0,uniform,min,1,1.0,0.0,0.0,0.6278729745797139,0.49723982470095024,0.49723982473722406
0.5,0.0,uniform,min,2,0.0,0.0,1.0,1.0,0.9999999999789632,1.0
0.5,0.0,uniform,min,2,0.0,0.2,0.8,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.0,0.4,0.6,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.0,0.6,0.4,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.0,0.8,0.2,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.0,1.0,0.0,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.2,0.0,0.8,1.0,0.9999999999789632,1.0
0.5,0.0,uniform,min,2,0.2,0.2,0.6,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.2,0.4,0.4,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.2,0.6,0.2,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.2,0.8,0.0,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.4,0.0,0.6,1.0,0.9999999999789632,1.0
0.5,0.0,uniform,min,2,0.4,0.2,0.4,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.4,0.4,0.2,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.4,0.6,0.0,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.6,0.0,0.4,1.0,0.9999999999789632,1.0
0.5,0.0,uniform,min,2,0.6,0.2,0.2,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.6,0.4,0.0,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,0.8,0.0,0.2,1.0,0.9999999999789632,1.0
0.5,0.0,uniform,min,2,0.8,0.2,0.0,1.0,0.9999999999999999,0.9999999999999998
0.5,0.0,uniform,min,2,1.0,0.0,0.0,1.0,0.542143075810755,0.5421430758256527
0.5,0.0,uniform,sum,0,0.0,0.0,1.0,0.31088081816186114,0.9999999996277126,1.0
0.5,0.0,uniform,sum,0,0.0,0.2,0.8,0.24431211362730595,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.0,0.4,0.6,0.24431211362730595,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.0,0.6,0.4,0.24431211362730595,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.0,0.8,0.2,0.24431211362730595,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.0,1.0,0.0,0.24431211362730595,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.2,0.0,0.8,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.2,0.2,0.6,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.2,0.4,0.4,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.2,0.6,0.2,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.2,0.8,0.0,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.4,0.0,0.6,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.4,0.2,0.4,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.4,0.4,0.2,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.4,0.6,0.0,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.6,0.0,0.4,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.6,0.2,0.2,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.6,0.4,0.0,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.8,0.0,0.2,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,0.8,0.2,0.0,0.46659728350095697,1.0,0.9999999999999999
0.5,0.0,uniform,sum,0,1.0,0.0,0.0,0.46659728350095697,0.5286938826734878,0.5286938826734877
0.5,0.0,uniform,sum,1,0.0,0.0,1.0,0.39163699439976013,0.9999999999287524,1.0
0.5,0.0,uniform,sum,1,0.0,0.2,0.8,0.3988238949379309,1.0,1.0
0.5,0.0,uniform,sum,1,0.0,0.4,0.6,0.3988238949379309,1.0,1.0
0.5,0.0,uniform,sum,1,0.0,0.6,0.4,0.3988238949379309,1.0,1.0
0.5,0.0,uniform,sum,1,0.0,0.8,0.2,0.3988238949379309,1.0,1.0
0.5,0.0,uniform,sum,1,0.0,1.0,0.0,0.3988238949379309,1.0,1.0
0.5,0.0,uniform,sum,1,0.2,0.0,0.8,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.2,0.2,0.6,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.2,0.4,0.4,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.2,0.6,0.2,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.2,0.8,0.0,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.4,0.0,0.6,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.4,0.2,0.4,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.4,0.4,0.2,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.4,0.6,0.0,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.6,0.0,0.4,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.6,0.2,0.2,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.6,0.4,0.0,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.8,0.0,0.2,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,0.8,0.2,0.0,0.7124778482746934,1.0,1.0
0.5,0.0,uniform,sum,1,1.0,0.0,0.0,0.7124778482746934,0.6989117777871865,0.6989117778193561
0.5,0.0,uniform,sum,2,0.0,0.0,1.0,1.0,0.9999999999603445,1.0
0.5,0.0,uniform,sum,2,0.0,0.2,0.8,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.0,0.4,0.6,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.0,0.6,0.4,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.0,0.8,0.2,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.0,1.0,0.0,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.2,0.0,0.8,1.0,0.9999999999603445,1.0
0.5,0.0,uniform,sum,2,0.2,0.2,0.6,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.2,0.4,0.4,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.2,0.6,0.2,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.2,0.8,0.0,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.4,0.0,0.6,1.0,0.9999999999603445,1.0
0.5,0.0,uniform,sum,2,0.4,0.2,0.4,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.4,0.4,0.2,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.4,0.6,0.0,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.6,0.0,0.4,1.0,0.9999999999603445,1.0
0.5,0.0,uniform,sum,2,0.6,0.2,0.2,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.6,0.4,0.0,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,0.8,0.0,0.2,1.0,0.9999999999603445,1.0
0.5,0.0,uniform,sum,2,0.8,0.2,0.0,1.0,1.0,1.0
0.5,0.0,uniform,sum,2,1.0,0.0,0.0,1.0,0.7462384153463755,0.7462384153759678
0.5,0.0,pareto,min,0,0.0,0.0,1.0,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,0.0,0.2,0.8,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,0.0,0.4,0.6,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,0.0,0.6,0.4,0.1595652746101697,0.9999999999999999,0.6421883127783587
0.5,0.0,pareto,min,0,0.0,0.8,0.2,0.1595652746101697,0.9999999999999999,0.6421883127783587
0.5,0.0,pareto,min,0,0.0,1.0,0.0,0.1595652746101697,0.9999999999999999,0.6421883127783587
0.5,0.0,pareto,min,0,0.2,0.0,0.8,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,0.2,0.2,0.6,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,0.2,0.4,0.4,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,0.2,0.6,0.2,0.1595652746101697,0.9999999999999999,0.6421883127783587
0.5,0.0,pareto,min,0,0.2,0.8,0.0,0.1595652746101697,0.9999999999999999,0.6421883127783587
0.5,0.0,pareto,min,0,0.4,0.0,0.6,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,0.4,0.2,0.4,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,0.4,0.4,0.2,0.1595652746101697,0.9999999999999999,0.6421883127783587
0.5,0.0,pareto,min,0,0.4,0.6,0.0,0.1595652746101697,0.9999999999999999,0.6421883127783587
0.5,0.0,pareto,min,0,0.6,0.0,0.4,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,0.6,0.2,0.2,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,0.6,0.4,0.0,0.1595652746101697,0.9999999999999999,0.6421883127783587
0.5,0.0,pareto,min,0,0.8,0.0,0.2,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,0.8,0.2,0.0,0.25,0.6878706009736728,1.0
0.5,0.0,pareto,min,0,1.0,0.0,0.0,0.25,0.33197893674179285,0.4826182951733663
0.5,0.0,pareto,min,1,0.0,0.0,1.0,0.43061408152711855,0.9999999999999999,1.0
0.5,0.0,pareto,min,1,0.0,0.2,0.8,0.43061408152711855,0.9999999999999999,1.0
0.5,0.0,pareto,min,1,0.0,0.4,0.6,0.43061408152711855,0.9999999999999999,1.0
0.5,0.0,pareto,min,1,0.0,0.6,0.4,0.43061408152711855,0.9999999999999999,1.0
0.5,0.0,pareto,min,1,0.0,0.8,0.2,0.43061408152711855,0.9999999999999999,1.0
0.5,0.0,pareto,min,1,0.0,1.0,0.0,0.43061408152711855,0.9999999999999999,1.0
0.5,0.0,pareto,min,1,0.2,0.0,0.8,0.6050823378642765,0.9999999999999999,1.0
0.5,0.0,pareto,min,1,0.2,0.2,0.6,0.6050823378642765,0.9999999999999999,1.0
0.5,0.0,pareto,min,1,0.2,0.4,0.4,0.6050823378642765,0.9999999999999999,1.0
0.5,0.0,pareto,min,1,0.2,0.6,0.2,0.6050823378642765,0.9999999999999999,1.0
