rule,n_apps,n_ops,seed,regime,objective,exact_objective,gap,seconds,exact_seconds,evaluated
min,3,2,0,small,0.2806004438330239,0.2806004438330239,0.0,0.006510509000008824,0.002908337000008032,44
min,3,2,1,small,0.40109966257897756,0.40109966257897756,0.0,0.004911744999844814,0.0021975839999868185,33
min,3,2,2,small,0.43725590919885093,0.43725590919885093,0.0,0.003907580000031885,0.0023152869998739334,24
min,3,2,3,small,0.5261123665663812,0.5261123665663812,0.0,0.007205170000133876,0.0020739020001201425,31
min,3,2,4,small,0.4469812371393792,0.4469812371393792,0.0,0.006238766000024043,0.0023052129999996396,30
min,3,2,5,small,0.7652812847214642,0.7652812847214642,0.0,0.004051797000101942,0.0029862399999274203,26
min,3,2,6,small,0.30729180477348783,0.30729180477348783,0.0,0.005749143000002732,0.001973292999991827,60
min,3,2,7,small,0.23479303891780898,0.23479303891780898,0.0,0.0036695189999136346,0.001703103999943778,30
min,3,2,8,small,0.29557401057177485,0.29557401057177485,0.0,0.0027690179999808606,0.0015187149999746907,32
min,3,2,9,small,0.3342088941559161,0.3342088941559161,0.0,0.0036017739998897014,0.0016480940000747069,34
min,3,3,0,small,0.42768851714021483,0.42768851714021483,0.0,0.009707436000098824,0.024164403999975548,120
min,3,3,1,small,0.48899098082169784,0.48899098082169784,0.0,0.007784431000118275,0.021609176000083608,120
min,3,3,2,small,0.4115521442903892,0.4115521442903892,0.0,0.008025161999967168,0.020537991999844962,94
min,3,3,3,small,0.5906668241856055,0.5906668241856055,0.0,0.007929103000151372,0.020659226000134367,91
min,3,3,4,small,0.5830800048480476,0.5830800048480476,0.0,0.008180338000101983,0.022335705000159578,88
min,3,3,5,small,0.6979982715015873,0.6979982715015873,0.0,0.009150566000016624,0.025287661999982447,120
min,3,3,6,small,0.333971545294742,0.333971545294742,0.0,0.009282723000069382,0.02660774500009211,101
min,3,3,7,small,0.6631136214285118,0.6631136214285118,0.0,0.008793412999921202,0.027740490999804024,98
min,3,3,8,small,0.27196891085671226,0.27196891085671226,0.0,0.00295055899982799,0.016871112999979232,50
min,3,3,9,small,0.4171132236632923,0.4171132236632923,0.0,0.006490817999974752,0.0180812920000335,82
min,4,3,0,small,0.14468006074071843,0.14468006074071843,0.0,0.00708162900014031,0.07585817300014241,109
min,4,3,1,small,0.5985936449036287,0.5985936449036287,0.0,0.013703179999993154,0.10489060600002631,179
min,4,3,2,small,0.36153759495532883,0.36153759495532883,0.0,0.006447112999921956,0.07643629799986229,106
min,4,3,3,small,0.08645754246405807,0.08645754246405807,0.0,0.004321252999943681,0.06821300199999314,81
min,4,3,4,small,0.10758353190945869,0.10758353190945869,0.0,0.0057792319998952735,0.07384675399998741,103
min,4,3,5,small,0.5807740507221388,0.5807740507221388,0.0,0.01186844599988035,0.10228413300001193,186
min,4,3,6,small,0.18587982167104028,0.18587982167104028,0.0,0.006597844999987501,0.08072311600017201,111
min,4,3,7,small,0.5930861355413646,0.5930861355413646,0.0,0.011362384999983988,0.10476208700015377,160
min,4,3,8,small,0.4227455413413309,0.4227455413413309,0.0,0.006476290999898993,0.07435655799986307,113
min,4,3,9,small,0.6147413836596423,0.6147413836596423,0.0,0.011571829999866168,0.08807866899996952,139
min,10,5,0,large,0.4247233483312065,,,0.02466645800018341,,421
min,10,5,1,large,0.46013442005289074,,,0.0319235160000062,,426
min,10,5,2,large,0.4250189380282352,,,0.02697835000003579,,427
min,10,5,3,large,0.3108089820895167,,,0.024424024999916583,,393
min,10,5,4,large,0.1405538158979907,,,0.011050669000042035,,252
min,10,5,5,large,0.34166369512531847,,,0.025632116999986465,,404
min,10,5,6,large,0.2368329473038586,,,0.025499652999997124,,386
min,10,5,7,large,0.46183383430591873,,,0.043502816000000166,,541
min,10,5,8,large,0.2952675312867906,,,0.03466548500000499,,516
min,10,5,9,large,0.18535286535906245,,,0.022289240999953108,,397
min,20,10,0,large,0.36424853694525605,,,0.07683636299998398,,737
min,20,10,1,large,0.30012260124869106,,,0.07591486299997996,,746
min,20,10,2,large,0.27379106791629026,,,0.07307835500000692,,723
min,20,10,3,large,0.18468001515732227,,,0.05815801599987935,,566
min,20,10,4,large,0.2858397993701469,,,0.05695479599989994,,579
min,20,10,5,large,0.36067488779274226,,,0.08744139899999936,,839
min,20,10,6,large,0.2582245293619661,,,0.1175040910000007,,996
min,20,10,7,large,0.29799095194833375,,,0.032714266000084535,,390
min,20,10,8,large,0.33667885202177783,,,0.034676975999900606,,384
min,20,10,9,large,0.2927245867736782,,,0.06376513400005024,,648
min,50,25,0,large,0.22043544117069155,,,0.3113210070000605,,1312
min,50,25,1,large,0.18639697459665724,,,0.19861886099988624,,988
min,50,25,2,large,0.22375883802114394,,,0.29435000800003763,,1324
min,50,25,3,large,0.27987877299871794,,,0.21390500699999393,,938
min,50,25,4,large,0.22363190912070682,,,0.1694003380000595,,768
min,50,25,5,large,0.2612160320797109,,,0.3663415600001372,,1819
min,50,25,6,large,0.2706747515229988,,,0.26270576599995366,,1111
min,50,25,7,large,0.2596755160797277,,,0.2056581429999369,,956
min,50,25,8,large,0.2603004073816535,,,0.24265626799979145,,1112
min,50,25,9,large,0.24979467464372035,,,0.19772177600020768,,932
min,100,50,0,large,0.18133800902297662,,,0.7768253400001868,,1410
min,100,50,1,large,0.23616502668924383,,,0.7953554149999036,,1533
min,100,50,2,large,0.23705679806433133,,,1.028139284999952,,1988
min,100,50,3,large,0.15340479168949173,,,0.954377630999943,,1708
min,100,50,4,large,0.2225368415052948,,,0.9780333029998474,,1814
min,100,50,5,large,0.2739093976222164,,,1.027448159999949,,2033
min,100,50,6,large,0.24874411727680312,,,1.1761413440001434,,2248
min,100,50,7,large,0.2585761870017077,,,0.8930563869998878,,1779
min,100,50,8,large,0.175928390484777,,,0.7927070089999688,,1549
min,100,50,9,large,0.19528648452175118,,,0.6323978139998871,,1299
min,200,100,0,large,0.15980918814869097,,,3.2773433100001057,,2167
min,200,100,1,large,0.1513102905520357,,,2.8838503780000337,,1858
min,200,100,2,large,0.20324268312716892,,,3.239048482000044,,1905
min,200,100,3,large,0.194979450896312,,,2.9410339219998605,,2056
min,200,100,4,large,0.1778725808833312,,,3.469859135999968,,2515
min,200,100,5,large,0.16351264914163235,,,2.6049431540000114,,1598
min,200,100,6,large,0.20580177109819717,,,4.299223582999957,,3062
min,200,100,7,large,0.20121298628910758,,,2.9370164990000376,,1984
min,200,100,8,large,0.24713122837901833,,,4.464527882000084,,3308
min,200,100,9,large,0.18600595677961484,,,4.267296241999929,,3001
sum,3,2,0,small,0.34948787318424107,0.34948787318424107,0.0,0.0027375649999612506,0.0024903199998789205,22
sum,3,2,1,small,0.4422244349266059,0.4422244349266059,0.0,0.0032029679998686333,0.002204980999977124,19
sum,3,2,2,small,0.43725590919885093,0.43725590919885093,0.0,0.003518632999885085,0.00203114100008861,24
sum,3,2,3,small,0.543684342298818,0.543684342298818,0.0,0.0033215180001207045,0.0021482219999597874,22
sum,3,2,4,small,0.4469812371393792,0.4469812371393792,0.0,0.0038188739999895915,0.002064946000018608,29
sum,3,2,5,small,0.7652812847214642,0.7652812847214642,0.0,0.004242258999965998,0.0027000380000572477,26
sum,3,2,6,small,0.4038639182123631,0.4367580462449535,0.07531430345794221,0.0029983160000028874,0.002247330000045622,20
sum,3,2,7,small,0.23479303891780898,0.23479303891780898,0.0,0.0036983649999910995,0.0018145010001262563,30
sum,3,2,8,small,0.29557401057177485,0.29557401057177485,0.0,0.003023363000011159,0.0016066430000591936,32
sum,3,2,9,small,0.3352336624803329,0.3352336624803329,0.0,0.002622290999852339,0.0017884429998957785,23
sum,3,3,0,small,0.6025246644571376,0.6025246644571376,0.0,0.006624927000075331,0.02753396299999622,69
sum,3,3,1,small,0.4880809271991618,0.48899098082169784,0.0018610846789174351,0.004295346999924732,0.025600335000035557,42
sum,3,3,2,small,0.4115521442903892,0.4115521442903892,0.0,0.011108864999869184,0.02703012699998908,94
sum,3,3,3,small,0.6045857446732619,0.6045857446732619,0.0,0.007065375999900425,0.025484207000090464,59
sum,3,3,4,small,0.5887127155128201,0.5887127155128201,0.0,0.009033672999976261,0.0264920870001788,76
sum,3,3,5,small,0.6979982715015873,0.6979982715015873,0.0,0.010940037999944252,0.027709514999969542,120
sum,3,3,6,small,0.5809675791350983,0.5809675791350983,0.0,0.009113940999895931,0.030313620000015362,86
sum,3,3,7,small,0.6631136214285118,0.6631136214285118,0.0,0.010423552000020209,0.026661523000029774,98
sum,3,3,8,small,0.27196891085671226,0.27196891085671226,0.0,0.0036189990000821126,0.02058892099989862,50
sum,3,3,9,small,0.555047687874954,0.555047687874954,0.0,0.00564181700019617,0.022255435000033685,68
sum,4,3,0,small,0.15432367367647953,0.15432367367647953,0.0,0.004595102999928713,0.08924486599994452,66
sum,4,3,1,small,0.681646147088441,0.681646147088441,0.0,0.006782740000062404,0.10791666699992675,88
sum,4,3,2,small,0.36153759495532883,0.36153759495532883,0.0,0.003774286999941978,0.0764703960001043,68
sum,4,3,3,small,0.2700926221744088,0.2700926221744088,0.0,0.0023579459998472885,0.06470278999995571,34
