seed,rule,objective,n_chains,mean_ops_per_chain,served_fraction
0,min,0.36424853694525605,5,1.6,0.8803514794813877
0,sum,0.4099708466359801,7,1.4285714285714286,0.812106172396658
0,overhead,0.3942237112474104,7,1.4285714285714286,0.9028367693067627
1,min,0.30012260124869106,6,1.6666666666666667,0.5406760870404357
1,sum,0.37831174817042795,5,2,0.8233665121986949
1,overhead,0.3450112783347814,6,1.6666666666666667,0.6970426945332727
2,min,0.27379106791629026,5,1.4,0.464453979916916
2,sum,0.45126571454461584,6,1.6666666666666667,0.9093079409523479
2,overhead,0.35598538034053095,7,1.4285714285714286,0.5924989708110202
3,min,0.18468001515732227,5,1.8,0.16419650066222563
3,sum,0.26977122964079414,6,1.6666666666666667,0.32771249396046837
3,overhead,0.2807916545106119,7,1.4285714285714286,0.27403312042798394
4,min,0.2858397993701469,7,1.4285714285714286,0.5821330865097182
4,sum,0.40118990222437234,5,2,0.8388708543806491
4,overhead,0.3383361233711897,5,1.8,0.588645650735363
5,min,0.36067488779274226,7,1.4285714285714286,0.5891181478988525
5,sum,0.5245704069576341,5,2,1.0
5,overhead,0.40183677842899945,6,1.6666666666666667,0.6926014775650534
6,min,0.2582245293619661,6,1.5,0.39252368763204604
6,sum,0.37591025112982,5,2,0.7115304660194982
6,overhead,0.32050916763136483,8,1.25,0.5184463253972802
7,min,0.29799095194833375,7,1.4285714285714286,0.5632109236261054
7,sum,0.39179756622349826,4,2,0.7891944067824511
7,overhead,0.32181418270865875,4,2,0.6180759717768902
8,min,0.33667885202177783,7,1.4285714285714286,0.7803326227540176
8,sum,0.35463158582052295,6,1.6666666666666667,0.7392510109256211
8,overhead,0.32980233697613315,6,1.5,0.7721273960184736
9,min,0.2927245867736782,8,1.25,0.5386734331012274
9,sum,0.37074003713635983,6,1.6666666666666667,0.8938812757376702
9,overhead,0.2964885900015152,7,1.4285714285714286,0.5313533084086111
10,min,0.28248503966600785,7,1.4285714285714286,0.582553599552
10,sum,0.389950666884329,4,2.5,0.815489085597849
10,overhead,0.3294760225018075,5,2,0.7003297660955533
11,min,0.3462881101757155,7,1.4285714285714286,0.6569973672485276
11,sum,0.3936927421341833,7,1.4285714285714286,0.7683929872665878
11,overhead,0.326510337529342,6,1.5,0.5858627189217026
12,min,0.2032780642965534,6,1.5,0.3783856048828366
12,sum,0.29373749967492957,6,1.6666666666666667,0.6319828174403262
12,overhead,0.25997049984990117,7,1.4285714285714286,0.42128623335049437
13,min,0.32976703260807383,8,1.25,0.6123837366087892
13,sum,0.4253537737296469,6,1.6666666666666667,0.8947681522960328
13,overhead,0.3361306618639597,7,1.4285714285714286,0.6389327155503155
14,min,0.2482636745676748,7,1.2857142857142858,0.31833351216668887
14,sum,0.36240845779958225,5,2,0.5790217338678734
14,overhead,0.25870270525812356,7,1.4285714285714286,0.32824491818235485
15,min,0.33856406867196687,7,1.2857142857142858,0.6418597367794231
15,sum,0.4002911440954703,5,2,0.9008562825205396
15,overhead,0.35821302484806994,7,1.4285714285714286,0.6796111239334414
16,min,0.2657065225986664,7,1,0.4983567204138144
16,sum,0.41358411094431136,5,2,0.8908026697357576
16,overhead,0.33074583150552106,7,1.4285714285714286,0.6303611368268756
17,min,0.3025711857330692,6,1.5,0.5989135705316857
17,sum,0.36192188621135857,5,1.6,0.7507573668382378
17,overhead,0.2880977491113239,7,1.2857142857142858,0.5299290227501678
18,min,0.17124951711169703,6,1.5,0.1903563666350533
18,sum,0.282877216670418,5,2,0.45948452593968614
18,overhead,0.21257991165396095,7,1.4285714285714286,0.2833688746995052
19,min,0.3237157963601048,6,1.6666666666666667,0.659326212036176
19,sum,0.3726807463578741,4,1.75,0.7997535312559727
19,overhead,0.3590472040805246,6,1.6666666666666667,0.7324368847537803
